Security     ,Long  Name                                                   ,Cat & Subtype ,Stock Exchange ,Currency Code ,Wghtd Ave Maturity ,Maturity Date ,Coupon Rate   ,Next Interest Date ,Exercise Price ,Macaulay Duration ,Interest Frequency ,Market Price     ,Yield to Maturity ,Shares Issued     ,Comments                       ,Days in Year ,Days in Month ,First Payment Date ,Last Payment Date ,Previous Ex Date ,Modified Duration ,Convexity  ,Accrued Interest  ,Days Ex/Due ,Swap Leg ,A ,Parent   ,Valuation Date                                                                                                                           External code 1 External code 2 Location Stock Exchange Total Value (Pfolio)
ES33        ,ESKOM 7.50% 15/09/2033                                      ,FI00,BMA,ZAR,   ,15/09/33,00007.500000,15/09/17,000000.000,008.231865,02,0000010.770000,010.770000,             ,ISSUE DATE 200306 NO GUARANTEE,2,1,        ,        ,15/03/17,007.807951,000.957862,              ,010, ,Y,        ,08/08/17
ES42        ,ESKOM 8.5% 25/04/2042                                       ,FI00,BMA,ZAR,   ,25/04/42,00008.500000,25/10/17,000000.000,008.919279,02,0000078.505790,          ,             ,                              ,2,1,        ,        ,25/04/17,008.451078,001.276894,              ,010, ,Y,        ,08/08/17
FBJ20Z      ,FIRST NATIONAL BANK NAMIBIA 3MJ+185BP 20/03/2020            ,FI02,BMA,ZAR,   ,20/03/20,00009.167000,20/09/17,000000.000,000.117808,04,0000100.045489,          ,             ,                              ,2,1,        ,        ,20/06/17,000.115153,000.061501,              ,010, ,Y,        ,08/08/17
FBNJ27      ,FNB NAMIBIA 3M JIBAR+250BPS 29/03/2022                      ,FI02,NSX,NAD,   ,29/03/22,00009.833000,29/09/17,000000.000,000.142466,04,0000100.023700,          ,             ,FULL MATURITY 29032027        ,2,1,        ,        ,29/06/17,000.139022,000.161975,              ,010, ,Y,        ,08/08/17
FBR         ,FAMBRANDS                                                   ,OS00,JSE,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000126.100000,          ,0000099862435,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
FDPAB7IC    ,ABSA FRD STEP UP 396 ANYDAY 3MJIBAR +115BP =8.508% 07092017 ,FI02,MME,ZAR,   ,07/09/17,00008.475000,07/09/17,000000.000,000.082192,04,0000100.000000,          ,             ,FDPAB2LD STEP UP              ,2,1,        ,        ,07/06/17,000.080471,000.000259,              ,   , ,Y,        ,08/08/17
FDPAB7IF    ,ABSA FRD 1M JIBAR+110BPS=7.925 08/09/2017                   ,FI02,MME,ZAR,   ,08/09/17,00007.925000,08/09/17,000000.000,000.000000,01,0000100.000000,          ,             ,STEP  UP FROM FDPAB7HF        ,2,1,        ,        ,08/08/17,000.000000,000.019733,              ,   , ,Y,        ,08/08/17
FDPAB8BC    ,ABSA FD  Y=8.4%  02022018                                   ,FI00,MME,ZAR,   ,02/02/18,00008.400000,02/02/18,000000.000,000.487671,01,0000100.000000,          ,             ,                              ,2,1,        ,        ,02/02/17,000.451324,000.004404,              ,   , ,Y,        ,08/08/17
FDPAB8BD    ,ABSA FRD 3MJIBAR +80BPS 14/02/2018                          ,FI02,MME,ZAR,   ,14/02/18,00008.142000,14/08/17,000000.000,000.016438,04,0000100.000000,          ,             ,                              ,2,1,        ,        ,15/05/17,000.016111,000.003679,              ,   , ,Y,        ,08/08/17
FDPAB8GC    ,ABSA FRD 3MJIBAR +125BPS 23/07/2018                         ,FI02,MME,ZAR,   ,23/07/18,00008.333000,23/10/17,000000.000,000.208219,04,0000100.000000,          ,             ,STEP UP FROM FDPAB5JC         ,2,1,        ,        ,24/07/17,000.203985,000.010664,              ,   , ,Y,        ,08/08/17
FDPFR9CW    ,FIRSTRAND FRN 3MJIBAR +0.60=5.675% 11032019                 ,FI02,MME,ZAR,   ,11/03/19,00007.933000,31/08/17,000000.000,000.063014,04,0000099.746480,          ,             ,TEMPLATE ONLY                 ,2,1,        ,        ,31/05/17,000.061752,000.025033,              ,   , ,Y,        ,08/08/17
FDPFR9CX    ,FIRSTRAND FRD 3MJIBAR +0.60=5.675% 19032019                 ,FI02,MME,ZAR,   ,19/03/19,00007.933000,31/08/17,000000.000,000.063014,04,0000099.729430,          ,             ,                              ,2,1,        ,        ,31/05/17,000.061750,000.025031,              ,   , ,Y,        ,08/08/17
FDPNB7KH    ,NED FD 3MJIBAR+80BPS=7.867% 02112017                        ,FI02,MME,ZAR,   ,02/11/17,00007.867000,02/11/17,000000.000,000.235616,04,0000100.000000,          ,             ,STEP UP ROLLING FROM FDPNB7HE ,2,1,        ,        ,02/08/17,000.231001,000.001087,              ,   , ,Y,        ,08/08/17
FDPNB8AH    ,NED  FRD  3M JIBAR+90=8.258%  18012018                      ,FI02,MME,ZAR,   ,18/01/18,00008.242000,18/10/17,000000.000,000.194521,04,0000100.000000,          ,             ,                              ,2,1,        ,        ,18/07/17,000.190552,000.002903,              ,   , ,Y,        ,08/08/17
FDPSC7EH    ,STD  FRN 3m JIBAR  +95=8.30%  11082017                      ,FI02,MME,ZAR,   ,11/08/17,00008.292000,11/08/17,000000.000,000.008219,04,0000100.000000,          ,             ,TEMPLATE ONLY                 ,2,1,        ,        ,11/05/17,000.008051,000.000020,              ,   , ,Y,        ,08/08/17
FDPSC8AT    ,STD FRD  3MJIBAR+90=8.258%  0501208                         ,FI02,MME,ZAR,   ,05/01/18,00008.242000,05/10/17,000000.000,000.158904,04,0000100.000000,          ,             ,                              ,2,1,        ,        ,05/07/17,000.155665,000.002533,              ,   , ,Y,        ,08/08/17
FDPSC8DM    ,STD FRD 3M JIBAR+97.5=8.317% 20042018                       ,FI02,MME,ZAR,   ,20/04/18,00008.317000,20/10/17,000000.000,000.200000,04,0000100.000000,          ,             ,                              ,2,1,        ,        ,20/07/17,000.195886,000.006176,              ,   , ,Y,        ,08/08/17
FDPSC8EF    ,STD FRD 3MJIBAR+95=8.292% 10052018                          ,FI02,MME,ZAR,   ,10/05/18,00008.292000,10/08/17,000000.000,000.005479,04,0000100.000000,          ,             ,TEMPLATE ONLY                 ,2,1,        ,        ,10/05/17,000.005367,000.006950,              ,   , ,Y,        ,08/08/17
FDPSL8BA    ,STD BANK LESOTHO  FD  Y=7.825%  08022018                    ,FI00,MME,LSL,   ,08/02/18,00007.825000,08/02/18,000000.000,000.504110,01,0000100.000000,          ,             ,                              ,2,1,        ,        ,07/02/17,000.468893,000.004719,              ,   , ,Y,        ,08/08/17
FDPSW8AB    ,CENTRAL BANK SWAZI PRIME -1.50% 31/01/2018                  ,FI02,MME,SZL,   ,31/01/18,00009.250000,31/10/17,000000.000,000.230137,04,0000100.000000,          ,             ,PRIME RESET ON PMT DT         ,2,1,        ,        ,31/07/17,000.224876,000.003275,              ,   , ,Y,        ,08/08/17
FFA         ,FORTRESS INCOME FUND LIMITED                                ,OS00,JSE,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000017.550000,          ,0001175214835,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
FFB         ,FORTRESS B                                                  ,OS00,JSE,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000039.000000,          ,0001076832691,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
FIDUSD      ,FIDELITY INSTITUTIONAL LIQUIDITY USD FUND A                 ,OS03,UNM,USD,   ,        ,            ,        ,000000.000,000.000000,  ,0010131.140000,          ,0000000000000,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
FIFB09      ,FORTRESS INCOME FUND LIMITED 3MJIBAR+184BPS 27/06/2016      ,FI02,BMA,ZAR,   ,27/06/19,00009.165000,27/09/17,000000.000,000.136986,04,0000100.051362,          ,             ,                              ,2,1,        ,        ,27/06/17,000.133902,000.034547,              ,010, ,Y,        ,08/08/17
FIFB10      ,FORTRESS INCOME FUND LIMITED 3MJIBAR+185BPS 12/09/2019      ,FI02,BMA,ZAR,   ,12/09/19,00009.167000,12/09/17,000000.000,000.095890,04,0000100.324359,          ,             ,                              ,2,1,        ,        ,12/06/17,000.093764,000.041501,              ,010, ,Y,        ,08/08/17
FIFB11      ,FORTRESS INCOME FUND LTD 3MJ+175BPS 07/02/2020              ,FI02,BMA,ZAR,   ,07/02/20,00008.817000,07/11/17,000000.000,000.249315,04,0000100.002735,          ,             ,                              ,2,1,        ,        ,07/08/17,000.243891,000.057692,              ,010, ,Y,        ,08/08/17
FNB NW      ,FNB NAMIBIA HOLDINGS LIMITED                                ,OS00,NSX,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000046.740000,          ,0000267593300,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
FNBJ19      ,FNB NAMIBIA 3MJIBAR + 180BPS 01/11/2019                     ,FI02,NSX,NAD,   ,01/11/19,00008.875000,01/11/17,000000.000,000.232877,04,0000099.998860,          ,             ,                              ,2,1,        ,        ,01/08/17,000.227777,000.047141,              ,009, ,Y,        ,08/08/17
FNBX19      ,FNB NAMIBIA 10.08% 01/11/2019                               ,FI00,NSX,NAD,   ,01/11/19,00010.080000,01/11/17,000000.000,002.006208,02,0000009.044000,009.044000,             ,                              ,2,1,        ,        ,01/05/17,001.918730,000.048660,              ,009, ,Y,        ,08/08/17
FRB05       ,FIRSTRAND 8.5% 21/12/2018                                   ,FI00,BMA,ZAR,   ,21/12/18,00008.500000,21/12/17,000000.000,001.309253,02,0000008.880000,008.880000,             ,SUBORDINATE UNSECURE - TIER 2 ,2,1,        ,        ,21/06/17,001.253447,000.022123,              ,010, ,Y,        ,08/08/17
FRBC21      ,FIRSTRAND 12% 21/12/2018 (STEP UP DATE)                     ,FI00,BMA,ZAR,   ,21/12/18,00012.000000,21/12/17,000000.000,001.287652,02,0000009.890000,009.890000,             ,PERPETUAL; CALLABLE 21/12/2099,2,1,        ,        ,21/06/17,001.226820,000.021440,              ,005, ,Y,        ,08/08/17
FRBC22      ,FRB 3M JIBAR+300 211218                                     ,FI02,BMA,ZAR,   ,21/12/18,00010.325000,21/09/17,000000.000,000.120548,04,0000102.163659,          ,             ,SENIOUR UNSECURED             ,2,1,        ,        ,21/06/17,000.117980,000.019469,              ,005, ,Y,        ,08/08/17
FRBI25M7    ,FIRSTRAND BANK CPI LINKED 2% 31/01/2025                     ,FI04,BMA,ZAR,500,31/01/25,00002.000000,31/01/18,000000.000,006.952145,02,0000118.419830,          ,             ,                              ,2,1,        ,        ,31/07/17,006.828903,000.521659,              ,010, ,Y,        ,08/08/17
FRC163      ,FIRSTRAND OLD MUTUAL CLN 3M JIBAR+177BPS 20/03/2018         ,FI02,BMA,ZAR,   ,20/03/18,00009.087000,20/09/17,000000.000,000.117808,04,0000100.045693,          ,             ,                              ,2,1,        ,        ,20/06/17,000.115191,000.004945,              ,005, ,Y,        ,08/08/17
FRJ22       ,FIRSTRAND BANK 3M JIBAR+155BPS 07/03/2022                   ,FI02,BMA,ZAR,   ,07/03/22,00008.875000,07/09/17,000000.000,000.082192,04,0000100.413561,          ,             ,                              ,2,1,        ,        ,07/06/17,000.080415,000.162958,              ,005, ,Y,        ,08/08/17
FRLAB7IC    ,ABSA BANK FRD 3MJIBAR+90BPS 22/09/2017                      ,FI02,MME,ZAR,   ,22/09/17,00008.225000,22/09/17,000000.000,000.123288,04,0000100.000000,          ,             ,                              ,2,1,        ,        ,22/06/17,000.120777,000.000437,              ,   , ,Y,        ,08/08/17
FRLAB8DK    ,ABSA FRN 3M JIBAR+90BPS 13/04/2018                          ,FI02,MME,ZAR,   ,13/04/18,00008.242000,13/10/17,000000.000,000.180822,04,0000100.219835,          ,             ,                              ,2,1,        ,        ,13/07/17,000.177284,000.005898,              ,   , ,Y,        ,08/08/17
FRLAB8EM    ,ABSA FRN 3MJIBAR+95BPS 23/05/2018                           ,FI02,MME,ZAR,   ,23/05/18,00008.292000,23/08/17,000000.000,000.041096,04,0000100.055477,          ,             ,                              ,2,1,        ,        ,23/05/17,000.040262,000.007541,              ,   , ,Y,        ,08/08/17
FRLAB8FK    ,ABSA FRN 3MJIBAR+92.5BPS 01/06/2018                         ,FI02,MME,ZAR,   ,01/06/18,00008.258000,01/09/17,000000.000,000.065753,04,0000100.087330,          ,             ,                              ,2,1,        ,        ,01/06/17,000.064430,000.007967,              ,   , ,Y,        ,08/08/17
FRLAB8FL    ,ABSA BANK FRN 3MJIBAR+92.5BPS 22/06/2018                    ,FI02,MME,ZAR,   ,22/06/18,00008.250000,22/09/17,000000.000,000.123288,04,0000100.157992,          ,             ,                              ,2,1,        ,        ,22/06/17,000.120832,000.009001,              ,   , ,Y,        ,08/08/17
FRLAB8GE    ,ABSA FRN 3MJIBAR+92.5BPS 12/07/2018                         ,FI02,MME,ZAR,   ,12/07/18,00008.267000,12/10/17,000000.000,000.178082,04,0000100.221235,          ,             ,                              ,2,1,        ,        ,12/07/17,000.174551,000.010040,              ,   , ,Y,        ,08/08/17
FRLAH7HB    ,AMBER HOUSE FRN 3M JIBAR+135=8.692% 21/08/2017              ,FI02,MME,ZAR,   ,21/08/17,00008.692000,21/08/17,000000.000,000.035616,04,0000100.062048,          ,             ,3M ANYDAY STEP UP             ,2,1,        ,        ,22/05/17,000.035018,000.000099,              ,   , ,Y,        ,08/08/17
FRLBN2GA    ,BANK CHN FRN 3MJIBAR + 159BPS 24/07/2020                    ,FI02,MME,ZAR,   ,24/07/20,00008.673000,24/10/17,000000.000,000.210959,04,0000100.000000,          ,             ,FLOATING RATE NOTE            ,2,1,        ,        ,24/07/17,000.206444,000.077783,              ,   , ,Y,        ,08/08/17
FRLBW0FD    ,BANK WINDHOEK FRN JB3M+167BPS 22/06/2020                    ,FI02,MME,NAD,   ,22/06/20,00008.995000,21/09/17,000000.000,000.120548,04,0000100.200203,          ,             ,                              ,2,1,        ,        ,21/06/17,000.117898,000.072633,              ,   , ,Y,        ,08/08/17
FRLCP9GB    ,CAPITEC BANK FRN 3M JIBAR + 4.75%=10.825% 06072019          ,FI02,MME,ZAR,   ,06/07/19,00012.092000,06/10/17,000000.000,000.161644,04,0000105.746970,          ,             ,TEMPLATE ONLY                 ,2,1,        ,        ,06/07/17,000.158138,000.034479,              ,   , ,Y,        ,08/08/17
FRLFM7HA    ,FNB NAM FRN 3M JIBAR +95.5BPS 28/08/2017                    ,FI02,MME,NAD,   ,28/08/17,00008.288000,28/08/17,000000.000,000.054795,04,0000100.053740,          ,             ,TEMPLATE ONLY                 ,2,1,        ,        ,29/05/17,000.053826,000.000162,              ,   , ,Y,        ,08/08/17
FRLFM7IA    ,FNB NAM 3M JIBAR+1.075% =7.208% 18092017                    ,FI02,MME,NAD,   ,18/09/17,00008.392000,18/09/17,000000.000,000.112329,04,0000100.120872,          ,             ,TEMPLATE ONLY                 ,2,1,        ,        ,19/06/17,000.110337,000.000394,              ,   , ,Y,        ,08/08/17
FRLFN8HA    ,FNB FRN 3MJIBAR + 128BPS =  7.58%  28082018                 ,FI02,MME,NAD,   ,28/08/18,00008.613000,28/08/17,000000.000,000.054795,04,0000100.071231,          ,             ,TEMPLATE ONLY                 ,2,1,        ,        ,29/05/17,000.053653,000.012405,              ,   , ,Y,        ,08/08/17
FRLFR7GF    ,RMB FRN3MJ+45BPS =7.80%  10082017                           ,FI02,MME,ZAR,   ,10/08/17,00007.792000,10/08/17,000000.000,000.005479,04,0000100.004612,          ,             ,                              ,2,1,        ,        ,10/05/17,000.005385,000.000013,              ,   , ,Y,        ,08/08/17
FRLFR8DL    ,RMB FRN 3MJIBAR+90BPS 11/04/2018                            ,FI02,MME,ZAR,   ,11/04/18,00008.242000,11/10/17,000000.000,000.175342,04,0000100.213873,          ,             ,TEMPLATE ONLY                 ,2,1,        ,        ,11/07/17,000.171908,000.005816,              ,   , ,Y,        ,08/08/17
FRLFR8EN    ,RMB FRN 3MJIBAR+90=8.242% 03052018                          ,FI02,MME,ZAR,   ,03/05/18,00007.967000,03/11/17,000000.000,000.238356,04,0000100.215509,          ,             ,TEMPLATE ONLY                 ,2,1,        ,        ,03/08/17,000.233828,000.006809,              ,   , ,Y,        ,08/08/17
FRLFR8FG    ,RMB FRN 3MJIBAR+ 91.5=8.257% 15062018                       ,FI02,MME,ZAR,   ,15/06/18,00008.232000,18/09/17,000000.000,000.112329,04,0000100.143520,          ,             ,TEMPLATE ONLY                 ,2,1,        ,        ,19/06/17,000.110119,000.008826,              ,   , ,Y,        ,08/08/17
FRLFR8GL    ,FIRSTRAND BANK FRN 3M JIBAR+87.5BPS 12/07/2018              ,FI02,MME,ZAR,   ,12/07/18,00008.217000,12/10/17,000000.000,000.178082,04,0000100.212485,          ,             ,                              ,2,1,        ,        ,12/07/17,000.174568,000.010045,              ,   , ,Y,        ,08/08/17
FRLIV7GB    ,INV FRN  JIBAR +92.5=8.283% 06102017                        ,FI02,MME,ZAR,   ,06/10/17,00008.267000,06/10/17,000000.000,000.161644,04,0000100.202921,          ,             ,TEMPLATE ONLY                 ,2,1,        ,        ,06/07/17,000.158832,000.000635,              ,   , ,Y,        ,08/08/17
FRLIV8EB    ,INVESTEC FRN 3MJIBAR+ 120BP=7.325% 11052018                 ,FI02,MME,ZAR,   ,11/05/18,00008.542000,11/08/17,000000.000,000.008219,04,0000100.012987,          ,             ,TEMPLATE ONLY                 ,2,1,        ,        ,11/05/17,000.008046,000.006977,              ,   , ,Y,        ,08/08/17
FRLIV8EC    ,INVESTEC FRN 3MJIBAR+92.5BPS 03/05/2018                     ,FI02,MME,ZAR,   ,03/05/18,00007.992000,03/11/17,000000.000,000.238356,04,0000100.221363,          ,             ,TEMPLATE ONLY                 ,2,1,        ,        ,03/08/17,000.233818,000.006808,              ,   , ,Y,        ,08/08/17
FRLLB0CA    ,LANDBANK FRN 3M JIBAR+195BPS 06/03/2020                     ,FI02,MME,ZAR,   ,06/03/20,00009.275000,07/09/17,000000.000,000.082192,04,0000101.193530,          ,             ,ROLL FROM FDPAB2EB            ,2,1,        ,        ,07/06/17,000.080418,000.059934,              ,   , ,Y,        ,08/08/17
FRLLB9DA    ,LANDBANK FRN 3MJIBAR+153=7.263% 08042019                    ,FI02,MME,ZAR,   ,08/04/19,00008.872000,09/10/17,000000.000,000.169863,04,0000100.760570,          ,             ,TEMPLATE ONLY                 ,2,1,        ,        ,07/07/17,000.166265,000.027957,              ,   , ,Y,        ,08/08/17
FRLLB9FA    ,LANDBANK FRN 3M JBAR + 225BPS= 9.558% 14062019              ,FI02,MME,ZAR,   ,14/06/19,00009.567000,18/09/17,000000.000,000.112329,04,0000102.025080,          ,             ,TEMPLATE ONLY                 ,2,1,        ,        ,19/06/17,000.110031,000.033749,              ,   , ,Y,        ,08/08/17
FRLLB9IB    ,LAND FRN 3M JIBAR + 225BPS= 9.55% 13062019                  ,FI02,MME,ZAR,   ,13/06/19,00009.567000,13/09/17,000000.000,000.098630,04,0000102.023210,          ,             ,TEMPLATE ONLY                 ,2,1,        ,        ,13/06/17,000.096591,000.033222,              ,   , ,Y,        ,08/08/17
FRLNB7KC    ,NED FRD 3MJIBAR+70BPS=7.758% 08/11/2017                     ,FI02,MME,ZAR,   ,08/11/17,00007.758000,08/11/17,000000.000,000.000000,04,0000100.000000,          ,             ,                              ,2,1,        ,        ,08/08/17,000.000000,000.001203,              ,   , ,Y,        ,08/08/17
FRLNB8CG    ,NEDBANK FRN 3MJIBAR+85BPS 29/03/2018                        ,FI02,MME,ZAR,   ,29/03/18,00008.183000,29/09/17,000000.000,000.142466,04,0000100.170126,          ,             ,TEMPLATE ONLY                 ,2,1,        ,        ,29/06/17,000.139679,000.005336,              ,   , ,Y,        ,08/08/17
FRLNB8FB    ,NED FRN 3MJIBAR+92BPS=8.245% 07062018                       ,FI02,MME,ZAR,   ,07/06/18,00008.245000,07/09/17,000000.000,000.082192,04,0000100.108747,          ,             ,                              ,2,1,        ,        ,07/06/17,000.080546,000.008257,              ,   , ,Y,        ,08/08/17
FRLNB8GG    ,NEDBANK FRN 3MJIBAR+93BPS 05/07/2018                        ,FI02,MME,ZAR,   ,05/07/18,00008.272000,05/10/17,000000.000,000.158904,04,0000100.200746,          ,             ,                              ,2,1,        ,        ,05/07/17,000.155745,000.009669,              ,   , ,Y,        ,08/08/17
FRLNB9DR    ,NEDNAM FRN 3M JIBAR + 97BPS=6.720% 10042019                 ,FI02,MME,NAD,   ,10/04/19,00008.312000,10/10/17,000000.000,000.172603,04,0000100.163638,          ,             ,TEMPLATE ONLY                 ,2,1,        ,        ,10/07/17,000.169103,000.028348,              ,   , ,Y,        ,08/08/17
FRLSB0GB    ,STANDARD BANK NAMIBIA FRD 3M JIBAR+165BPS 14/07/2020        ,FI02,MME,NAD,   ,14/07/20,00008.992000,16/10/17,000000.000,000.189041,04,0000100.367376,          ,             ,                              ,2,1,        ,        ,14/07/17,000.184821,000.075919,              ,   , ,Y,        ,08/08/17
FRLSB8HB    ,STDNAM FLOATING NCD 3MJIBAR +133BPS=7.63% 12082018          ,FI02,MME,NAD,   ,12/08/18,00008.672000,14/08/17,000000.000,000.016438,04,0000100.021907,          ,             ,TEMPLATE ONLY FRN - CODED INC ,2,1,        ,        ,12/05/17,000.016080,000.011556,              ,   , ,Y,        ,08/08/17
FRLSC8DI    ,STD FRN 3MJIBAR+90BPS 20/04/2018                            ,FI02,MME,ZAR,   ,20/04/18,00007.983000,23/10/17,000000.000,000.208219,04,0000100.195395,          ,             ,                              ,2,1,        ,        ,21/07/17,000.204139,000.006257,              ,   , ,Y,        ,08/08/17
FRLSC8EI    ,STANDARD BANK FRN 3MJIBAR+90BPS 07/05/2018                  ,FI02,MME,ZAR,   ,07/05/18,00007.967000,06/11/17,000000.000,000.246575,04,0000100.221873,          ,             ,                              ,2,1,        ,        ,07/08/17,000.241960,000.006990,              ,   , ,Y,        ,08/08/17
FRLSC9CV    ,STD FRN 3MJIBAR+1.058%=6.133% COMPOUND INTEREST 14032019    ,FI02,MME,ZAR,   ,14/03/19,00008.383000,31/08/17,000000.000,000.063014,02,0000100.436020,          ,             ,MAQUARIE                      ,2,1,        ,        ,28/02/17,000.060549,000.027116,              ,   , ,Y,        ,08/08/17
FRLSC9DN    ,STD FRN 3M JIBAR + 125BPS= 8.542% 23042019                  ,FI02,MME,ZAR,   ,23/04/19,00008.333000,23/10/17,000000.000,000.208219,04,0000100.789850,          ,             ,FLOATING RATE FIXED DEPOSIT   ,2,1,        ,        ,24/07/17,000.204232,000.029649,              ,   , ,Y,        ,08/08/17
FRNSC8JB    ,STANDARDBANK FRN 3M JIBAR+1.04% = 6.115% 22102018           ,FI02,MME,ZAR,   ,22/10/18,00008.365000,31/08/17,000000.000,000.063014,02,0000100.541410,          ,             ,MACQUARIE                     ,2,1,        ,        ,28/02/17,000.060624,000.014392,              ,   , ,Y,        ,08/08/17
FRNSC8KA    ,STANDARD BANK FRN 3M JIBAR+1.06%=6.135% 08112018            ,FI02,MME,ZAR,   ,08/11/18,00008.385000,31/08/17,000000.000,000.063014,04,0000100.561630,          ,             ,MACQURIE                      ,2,1,        ,        ,28/02/17,000.060532,000.017134,              ,   , ,Y,        ,08/08/17
FRNSC8KB    ,STANDARD BANK 3MJIBAR+1.08% = 6.155% 19112018               ,FI02,MME,ZAR,   ,19/11/18,00008.405000,31/08/17,000000.000,000.063014,02,0000100.583660,          ,             ,MACQUARIE                     ,2,1,        ,        ,28/02/17,000.060625,000.014388,              ,   , ,Y,        ,08/08/17
FRNSC8KC    ,STANDARD BANK 3M JIBAR+1.08 = 6.155% 20112018               ,FI02,MME,ZAR,   ,20/11/18,00008.405000,31/08/17,000000.000,000.063014,02,0000100.583170,          ,             ,MACQURIE                      ,2,1,        ,        ,28/02/17,000.060625,000.014388,              ,   , ,Y,        ,08/08/17
FRS119M7    ,FIRSTRAND BANK CPI 2.25% 31/01/2038                         ,FI04,BMA,ZAR,400,31/01/38,00002.250000,31/01/18,000000.000,016.071059,02,0000003.325000,003.325000,             ,                              ,2,1,        ,        ,31/07/17,015.806122,002.995364,              ,009, ,Y,        ,08/08/17
FRS136M7    ,FIRSTRAND BANK CPI 2.25% 31/01/2038                         ,FI04,BMA,ZAR,500,31/01/38,00002.250000,31/01/18,000000.000,015.881038,02,0000003.760000,003.760000,             ,                              ,2,1,        ,        ,31/07/17,015.585620,002.937199,              ,009, ,Y,        ,08/08/17
FRS49       ,FIRSTRAND JBR+170BPS 27/10/2020                             ,FI02,BMA,ZAR,   ,27/10/20,00008.783000,27/10/17,000000.000,000.219178,04,0000100.012308,          ,             ,                              ,2,1,        ,        ,27/07/17,000.214431,000.089890,              ,005, ,Y,        ,08/08/17
FRX18       ,FIRSTRAND 10.50% 14/04/2018                                 ,FI00,BMA,ZAR,   ,14/04/18,00010.500000,14/10/17,000000.000,000.658101,02,0000007.670000,007.670000,             ,                              ,2,1,        ,        ,18/04/17,000.634244,000.007252,              ,005, ,Y,        ,08/08/17
FRX19       ,FIRSTRAND 9.00% 15/11/2019                                  ,FI00,BMA,ZAR,   ,15/11/19,00009.000000,15/11/17,000000.000,002.067038,02,0000007.900000,007.900000,             ,                              ,2,1,        ,        ,15/05/17,001.987872,000.051522,              ,005, ,Y,        ,08/08/17
FRX20       ,FIRSTRAND 8.75% 01/10/2020                                  ,FI00,BMA,ZAR,   ,01/10/20,00008.750000,01/10/17,000000.000,002.743372,02,0000008.130000,008.130000,             ,                              ,2,1,        ,        ,01/04/17,002.635928,000.088813,              ,005, ,Y,        ,08/08/17
FRX24       ,FIRSTRAND 10.75% 10/12/2024                                 ,FI00,BMA,ZAR,   ,10/12/24,00010.750000,10/12/17,000000.000,005.266434,02,0000009.200000,009.200000,             ,SENIOUR UNSECURED             ,2,1,        ,        ,10/06/17,005.034225,000.334407,              ,010, ,Y,        ,08/08/17
FRX26       ,FIRSTRAND BANK LIMITED 9.5% 01/10/2026                      ,FI00,BMA,ZAR,   ,01/10/26,00009.500000,01/10/17,000000.000,006.082791,02,0000009.740000,009.740000,             ,                              ,2,1,        ,        ,01/04/17,005.799578,000.462351,              ,005, ,Y,        ,08/08/17
FS1A5       ,FOX STREET 1 (RF) LIMITED 3M JIBAR+130BPS 20/09/2018        ,FI02,BMA,ZAR,   ,20/09/18,00008.617000,20/09/17,000000.000,000.117808,04,0000100.152159,          ,             ,LEGAL MATURITY 20/03/2038     ,2,1,        ,        ,20/06/17,000.115344,000.013782,              ,005, ,Y,        ,08/08/17
FS2A5       ,FOX STREET 2 (RF) LIMITED 3MJIBAR+125BPS 20/02/2019         ,FI02,BMA,ZAR,   ,20/02/19,00008.592000,21/08/17,000000.000,000.035616,04,0000099.949298,          ,             ,LEGAL MATURITY 20/08/2038     ,2,1,        ,        ,22/05/17,000.034866,000.024004,              ,005, ,Y,        ,08/08/17
FSR         ,FIRST RAND LIMITED                                          ,OS00,JSE,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000054.800000,          ,0005609488001,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
FSTNW       ,FIRSTRAND LIMITED NAMIBIA                                   ,OS00,NSX,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000054.800000,          ,0005637942000,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
G11890      ,DEC17 ALSI PUT 46000 21/12/2017                             ,FU11,SFX,ZAR,   ,21/12/17,            ,        ,046000.000,000.000000,  ,0003981.000000,          ,             ,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
G50131      ,DEC17 ALSI PUT 48500 21/12/2017                             ,FU11,SFX,ZAR,   ,21/12/17,            ,        ,048500.000,000.000000,  ,0008659.000000,          ,             ,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
