ValuationDate,08/08/17
BONDPY
Pfolio ,BondInstrument                        ,Security ,SectorLevel0         ,Duration ,NominalValue   ,TotalCost         ,Ex? ,CurrentYTM ,MarketValue       ,Cat
AVBOBC,ESKOM 10.00% 25/01/2023              ,ES23    ,3-7 years NominalGov,000.0000,00004781000,00005272814.31, ,0008.93,00005017516.55,FI00
AVBOBC,R2023 REPUBLIC OF SOUTH AFRICA 7.750%,R2023   ,3-7 years NominalGov,000.0000,00002152049,00002099661.25, ,0007.90,00002210989.32,FI00
AVBOBC,R208 REPUBLIC OF SOUTH AFRICA 6.750% ,R208    ,3-7 years NominalGov,000.0000,00000763145,00000744162.50, ,0007.48,00000763995.60,FI00
AVBOBC,TRANS CALEDON 9% 28/05/2021          ,WSP5    ,3-7 years NominalGov,000.0000,00000364000,00000372209.50, ,0008.23,00000379419.11,FI00
**TOTAL 3-7 years NominalGov                                           ,,,,000.0000,00008060194,00008488847.56, ,       ,00008371920.58,
AVBOBC,ESKOM 7.85% 02/04/2026               ,ES26    ,7-12 years NominalGo,000.0000,00001228000,00001134493.70, ,0009.72,00001129432.00,FI00
AVBOBC,SA NATIONAL ROADS AGENCY LTD 9% 30/09,SZ25    ,7-12 years NominalGo,000.0000,00000019000,00000018000.29, ,0009.51,00000019067.12,FI00
**TOTAL 7-12 years NominalGo                                           ,,,,000.0000,00001247000,00001152493.99, ,       ,00001148499.12,
AVBOBC,ESKOM 7.50% 15/09/2033               ,ES33    ,Over 12 years Nomina,000.0000,00000360872,00000291419.20, ,0010.77,00000282290.17,FI00
AVBOBC,R2030 REPUBLIC OF SOUTH AFRICA 8.000%,R2030   ,Over 12 years Nomina,000.0000,00032621744,00030217768.79, ,0009.12,00030006106.47,FI00
AVBOBC,R2032 REPUBLIC OF SOUTH AFRICA 8.250%,R2032   ,Over 12 years Nomina,000.0000,00010742240,00010670469.56, ,0009.35,00010129041.79,FI00
AVBOBC,R2035 REPUBLIC OF SOUTH AFRICA 8.875%,R2035   ,Over 12 years Nomina,000.0000,00003932458,00003795395.72, ,0009.60,00003847468.54,FI00
AVBOBC,R2037 REPUBLIC OF SOUTH AFRICA 8.500%,R2037   ,Over 12 years Nomina,000.0000,00013739544,00013495360.68, ,0009.69,00012347381.96,FI00
AVBOBC,R2040 REPUBLIC OF SOUTH AFRICA 9.000%,R2040   ,Over 12 years Nomina,000.0000,00025862189,00024645432.54, ,0009.83,00023986913.92,FI00
AVBOBC,R2044 REPUBLIC OF SOUTH AFRICA 8.750%,R2044   ,Over 12 years Nomina,000.0000,00064218081,00059608161.90, ,0009.86,00057688784.68,FI00
AVBOBC,R2048 REPUBLIC OF SOUTH AFRICA 8.750%,R2048   ,Over 12 years Nomina,000.0000,00015534963,00014565939.66, ,0009.82,00014529279.21,FI00
AVBOBC,R209 REPUBLIC OF SOUTH AFRICA 6.250% ,R209    ,Over 12 years Nomina,000.0000,00015898785,00012085392.45, ,0009.57,00011707084.64,FI00
AVBOBC,R213 REPUBLIC OF SOUTH AFRICA 7.000% ,R213A   ,Over 12 years Nomina,000.0000,00015840000,00013890519.74, ,0009.22,00013635985.97,FI00
AVBOBC,R214 REPUBLIC OF SOUTH AFRICA 7.000% ,R214    ,Over 12 years Nomina,000.0000,00007525000,00005675630.42, ,0009.75,00005497564.84,FI00
**TOTAL Over 12 years Nomina                                           ,,,,000.0000,00206275876,00188941490.66, ,       ,00183657902.19,
AVBOBC,CITY OF JHB 9% 05/06/2018            ,COJ04   ,0-1 year NominalCred,000.0000,00002119811,00001833804.57, ,0008.09,00002168369.51,FI00
AVBOBC,FIRSTRAND 10.50% 14/04/2018          ,FRX18   ,0-1 year NominalCred,000.0000,00000014000,00000014640.59, ,0007.67,00000014721.04,FI00
AVBOBC,IMPERIAL GRP 280917                  ,IPL6    ,0-1 year NominalCred,000.0000,00000099000,00000101206.09, ,0007.90,00000102733.91,FI00
AVBOBC,INVESTEC 13.735% 30/04/2018          ,IV08    ,0-1 year NominalCred,000.0000,00000014000,00000014967.34, ,0008.78,00000015001.94,FI00
AVBOBC,STD 8.4% 100418                      ,SBK9    ,0-1 year NominalCred,000.0000,00000840808,00000767940.77, ,0008.43,00000863831.68,FI00
**TOTAL 0-1 year NominalCred                                           ,,,,000.0000,00003087619,00002732559.36, ,       ,00003164658.08,
AVBOBC,AA05 ANGLO AMERICAN SA FINANCE LTD 9.,AA05    ,1-3 years NominalCre,000.0000,00000035000,00000034912.10, ,0008.60,00000036576.21,FI00
AVBOBC,ABSA BANK LIMITED 8.295% 21/11/2018  ,AB013   ,1-3 years NominalCre,000.0000,00000177000,00000170057.32, ,0009.08,00000178501.67,FI00
AVBOBC,ABSA 8.20% 01/06/2020                ,ABS6    ,1-3 years NominalCre,000.0000,00002765000,00002616843.75, ,0008.58,00002781406.68,FI00
AVBOBC,AIRPORTS COMPANY OF SOUTH AFRICA 8.58,AIR01   ,1-3 years NominalCre,000.0000,00000136000,00000132760.62, ,0008.43,00000140941.68,FI00
AVBOBC,BARLOW 9.8% 01/10/2018               ,BAW11   ,1-3 years NominalCre,000.0000,00000183000,00000184989.22, ,0008.58,00000191722.29,FI00
AVBOBC,DEV BANK 9.45% 15/06/2020            ,DV22    ,1-3 years NominalCre,000.0000,00000336000,00000347827.20, ,0008.54,00000342919.52,FI00
AVBOBC,FIRSTRAND 8.5% 21/12/2018            ,FRB05   ,1-3 years NominalCre,000.0000,00000535000,00000514129.45, ,0008.88,00000538426.14,FI00
AVBOBC,FIRSTRAND 12% 21/12/2018 (STEP UP DAT,FRBC21  ,1-3 years NominalCre,000.0000,00000244000,00000251735.32, ,0009.89,00000254295.73,FI00
AVBOBC,FIRSTRAND 9.00% 15/11/2019           ,FRX19   ,1-3 years NominalCre,000.0000,00004360000,00004672861.39, ,0007.90,00004548639.84,FI00
AVBOBC,NBK3A NEDBANK LIMITED 11.39% 09/09/20,NBK3A   ,1-3 years NominalCre,000.0000,00000138000,00000148079.87, ,0008.15,00000152937.08,FI00
AVBOBC,SA NATIONAL ROADS AGENCY LTD 12.25% 3,NRA018  ,1-3 years NominalCre,000.0000,00000055000,00000060070.87, ,0008.26,00000058948.32,FI00
AVBOBC,OLD MUTUAL LIFE ASSURANCE COMPANY LTD,OML05   ,1-3 years NominalCre,000.0000,00004081532,00004081532.00, ,0009.71,00004240116.25,FI00
AVBOBC,STD BANK LIMITED 8.87% 24/05/2019    ,SBS25   ,1-3 years NominalCre,000.0000,00000778000,00000775842.53, ,0007.95,00000804025.97,FI00
**TOTAL 1-3 years NominalCre                                           ,,,,000.0000,00013823532,00013991641.64, ,       ,00014269457.38,
AVBOBC,ANGLO AMERICAN SA FINANCE LTD 9.49% 1,AA07    ,3-7 years NominalCre,000.0000,00003536698,00003536698.00, ,0009.58,00003632465.06,FI00
AVBOBC,CITY OF JHB 10.78% 23/03/2021        ,COJ07   ,3-7 years NominalCre,000.0000,00000094000,00000097400.15, ,0009.49,00000101452.97,FI00
AVBOBC,DEV BANK 10.00% 27/02/2023           ,DV23    ,3-7 years NominalCre,000.0000,00001521606,00001490457.05, ,0009.45,00001625473.56,FI00
AVBOBC,TRANSNET SOC LIMITED 9.50% 13/05/2021,EJ920857,3-7 years NominalCre,000.0000,00032000000,00032000000.00, ,0010.18,00032052300.80,FI00
AVBOBC,FIRSTRAND JBR+170BPS 27/10/2020      ,FRS49   ,3-7 years NominalCre,000.0000,00000029910,00000029912.75, ,0008.78,00000030007.24,FI02
AVBOBC,NEDBANK 8.92% 28/11/2020             ,NBK11A  ,3-7 years NominalCre,000.0000,00004034246,00004001674.38, ,0008.50,00004153259.89,FI00
AVBOBC,SA NATIONAL ROADS AGENCY LTD 12.25% 3,NRA022  ,3-7 years NominalCre,000.0000,00000135000,00000159314.63, ,0009.18,00000156402.43,FI00
AVBOBC,OLD MUTUAL LIFE ASSURANCE COMPANY LTD,OML06   ,3-7 years NominalCre,000.0000,00008163065,00008163065.00, ,0010.48,00008441698.98,FI00
AVBOBC,OLD MUTUAL LIFE ASSURANCE COMPANY LTD,OML09   ,3-7 years NominalCre,000.0000,00006328154,00006328154.00, ,0010.47,00006709617.65,FI00
AVBOBC,SBS19 STANDARD BANK OF SA 10.18% 23/0,SBS19   ,3-7 years NominalCre,000.0000,00000117000,00000123021.07, ,0008.36,00000125432.18,FI00
AVBOBC,STANDARD BANK LTD 10.13% 20/02/2024  ,SBS27   ,3-7 years NominalCre,000.0000,00001081000,00001104659.95, ,0009.15,00001183592.85,FI00
AVBOBC,TRANSNET LIMITED 10.5% 17/09/2020    ,TN20    ,3-7 years NominalCre,000.0000,00007042000,00007418603.42, ,0008.76,00007659265.10,FI00
**TOTAL 3-7 years NominalCre                                           ,,,,000.0000,00064082679,00064452960.40, ,       ,00065870968.71,
AVBOBC,CITY OF CAPE TOWN 11.16% 15/03/2025  ,CCT03   ,7-12 years NominalCr,000.0000,00002940767,00002981870.51, ,0010.46,00003177335.53,FI00
AVBOBC,CITY OF JOHANNESBURG METROPOLITAN 11.,COJ08   ,7-12 years NominalCr,000.0000,00003577102,00003577102.00, ,0010.56,00003811339.13,FI00
AVBOBC,FIRSTRAND 10.75% 10/12/2024          ,FRX24   ,7-12 years NominalCr,000.0000,00000184000,00000195779.68, ,0009.20,00000202173.53,FI00
AVBOBC,STD LIMITED 10.05% 15/05/2026        ,SBS20B  ,7-12 years NominalCr,000.0000,00000473000,00000474505.32, ,0009.67,00000494577.59,FI00
AVBOBC,STANDARD BANK LTD 9.785% 12/06/2027  ,SBS31   ,7-12 years NominalCr,000.0000,00001350091,00001312854.27, ,0009.89,00001361894.31,FI00
AVBOBC,TRANSNET LIMITED 9.5% 19/08/2025     ,TN25    ,7-12 years NominalCr,000.0000,00000166000,00000165213.35, ,0010.40,00000165436.10,FI00
**TOTAL 7-12 years NominalCr                                           ,,,,000.0000,00008690960,00008707325.13, ,       ,00009212756.19,
AVBOBC,STANLIB GLOBAL BOND SINGLE MANAGER CL,SINGLMAN,Fixed Int Unit Trust,000.0000,00000003849,00069863310.17, ,       ,00076629007.68,OS03
**TOTAL Fixed Int Unit Trust                                           ,,,,000.0000,00000003849,00069863310.17, ,       ,00076629007.68,
AVBOBC,BNY MELLON USD                       ,BNYUSD  ,Current Account     ,        ,           ,              , ,       ,00002304417.18,ZL01
AVBOBC,BANK OF NY ZAR                       ,BONYZAR ,Current Account     ,        ,           ,              , ,       ,00003153740.49,ZL03
AVBOBC,STANDARD BANK ZAR - Net Settlements  ,STDCUR01,Current Account     ,        ,           ,              , ,       ,00032418119.48,ZL06
**TOTAL Current Account                                                ,,,,        ,           ,              , ,       ,00037876277.15,
AVBOBC,ASA ZAR CALL                         ,ABSACAL1,Call Account        ,        ,           ,              , ,       ,00038556958.90,ZL03
AVBOBC,NED ZAR CALL                         ,CALLNED ,Call Account        ,        ,           ,              , ,       ,00036151825.75,ZL03
AVBOBC,SBK ZAR CALL                         ,SCMBCAL1,Call Account        ,        ,           ,              , ,       ,00004606503.01,ZL03
**TOTAL Call Account                                                   ,,,,        ,           ,              , ,       ,00079315287.66,
AVBOBC,SAFEX VARIATION MARG                 ,XMARVAR ,Margin Accounts     ,        ,           ,              , ,       ,00008590818.59,ZL01
**TOTAL Margin Accounts                                                ,,,,        ,           ,              , ,       ,00008590818.59,
AVBOBC,FIDELITY INSTITUTIONAL LIQUIDITY USD ,FIDUSD  ,Money Market Unit Tr,000.0000,00000000412,00053967317.29, ,       ,00055830897.58,OS03
AVBOBC,STANLIB CORPORATE MONEY MARKET FUND C,SCMB6   ,Money Market Unit Tr,000.0000,00049791842,00049791841.81, ,0040.00,00049878729.19,FI02
**TOTAL Money Market Unit Tr                                           ,,,,000.0000,00049792254,00103759159.10, ,       ,00105709626.77,
TOTAL AVBOB CORPORATE                                                  ,,,,        ,00356644424,00683537830.80, ,       ,00933097784.57,
AVBOBP,STANLIB HIGH ALPHA THREADNEEDLE CLASS,SHAGEB  ,Equity              ,000.0000,00000009542,00111417862.96, ,       ,00178998137.65,OS03
**TOTAL Equity                                                         ,,,,000.0000,00000009542,00111417862.96, ,       ,00178998137.65,
AVBOBP,STANLIB GLOBAL PROPERTY FUND CLASS B ,STGPFB  ,Real Estate         ,000.0000,00000000267,00008315067.58, ,       ,00008462653.19,OS03
**TOTAL Real Estate                                                    ,,,,000.0000,00000000267,00008315067.58, ,       ,00008462653.19,
AVBOBP,R203 REPUBLIC OF SOUTH AFRICA 8.250% ,R203    ,0-1 years NominalGov,000.0000,00000057027,00000057978.09, ,0006.95,00000058965.69,FI00
**TOTAL 0-1 years NominalGov                                           ,,,,000.0000,00000057027,00000057978.09, ,       ,00000058965.69,
AVBOBP,SA NATIONAL ROADS AGENCY LTD 9.75% 31,HWAY20  ,1-3 years NominalGov,000.0000,00000123000,00000130897.19, ,0008.26,00000128041.27,FI00
AVBOBP,R204 REPUBLIC OF SOUTH AFRICA 8.000% ,R204    ,1-3 years NominalGov,000.0000,00000085043,00000088171.42, ,0007.08,00000086946.37,FI00
AVBOBP,R207 REPUBLIC OF SOUTH AFRICA 7.250% ,R207    ,1-3 years NominalGov,000.0000,00000036048,00000035822.92, ,0007.33,00000036159.69,FI00
**TOTAL 1-3 years NominalGov                                           ,,,,000.0000,00000244091,00000254891.53, ,       ,00000251147.33,
AVBOBP,ESKOM 10.00% 25/01/2023              ,ES23    ,3-7 years NominalGov,000.0000,00003445000,00003782624.12, ,0008.93,00003615424.49,FI00
AVBOBP,R2023 REPUBLIC OF SOUTH AFRICA 7.750%,R2023   ,3-7 years NominalGov,000.0000,00001790494,00001745605.65, ,0007.90,00001839532.05,FI00
AVBOBP,R208 REPUBLIC OF SOUTH AFRICA 6.750% ,R208    ,3-7 years NominalGov,000.0000,00000528679,00000515003.39, ,0007.48,00000529268.27,FI00
AVBOBP,TRANS CALEDON 9% 28/05/2021          ,WSP5    ,3-7 years NominalGov,000.0000,00000255000,00000260751.17, ,0008.23,00000265801.85,FI00
**TOTAL 3-7 years NominalGov                                           ,,,,000.0000,00006019173,00006303984.33, ,       ,00006250026.66,
AVBOBP,ESKOM 7.85% 02/04/2026               ,ES26    ,7-12 years NominalGo,000.0000,00000878000,00000851133.46, ,0009.72,00000807525.49,FI00
AVBOBP,R186 REPUBLIC OF SOUTH AFRICA 10.500%,R186    ,7-12 years NominalGo,000.0000,00000633828,00000713031.57, ,0008.56,00000720750.03,FI00
AVBOBP,SA NATIONAL ROADS AGENCY LTD 9% 30/09,SZ25    ,7-12 years NominalGo,000.0000,00000018000,00000017033.42, ,0009.51,00000018063.59,FI00
**TOTAL 7-12 years NominalGo                                           ,,,,000.0000,00001529828,00001581198.45, ,       ,00001546339.11,
AVBOBP,ESKOM 7.50% 15/09/2033               ,ES33    ,Over 12 years Nomina,000.0000,00000260921,00000210261.53, ,0010.77,00000204104.04,FI00
AVBOBP,R2030 REPUBLIC OF SOUTH AFRICA 8.000%,R2030   ,Over 12 years Nomina,000.0000,00000519993,00000478905.35, ,0009.12,00000478299.55,FI00
AVBOBP,R2032 REPUBLIC OF SOUTH AFRICA 8.250%,R2032   ,Over 12 years Nomina,000.0000,00002247056,00002242803.16, ,0009.35,00002118787.53,FI00
AVBOBP,R2035 REPUBLIC OF SOUTH AFRICA 8.875%,R2035   ,Over 12 years Nomina,000.0000,00003363540,00003246306.84, ,0009.60,00003290846.16,FI00
AVBOBP,R2037 REPUBLIC OF SOUTH AFRICA 8.500%,R2037   ,Over 12 years Nomina,000.0000,00010061308,00009997981.62, ,0009.69,00009041843.95,FI00
AVBOBP,R2040 REPUBLIC OF SOUTH AFRICA 9.000%,R2040   ,Over 12 years Nomina,000.0000,00016758759,00015946014.59, ,0009.83,00015543576.36,FI00
AVBOBP,R2044 REPUBLIC OF SOUTH AFRICA 8.750%,R2044   ,Over 12 years Nomina,000.0000,00033354641,00030873472.76, ,0009.86,00029963347.90,FI00
AVBOBP,R2048 REPUBLIC OF SOUTH AFRICA 8.750%,R2048   ,Over 12 years Nomina,000.0000,00013171694,00012431085.05, ,0009.82,00012319000.68,FI00
AVBOBP,R209 REPUBLIC OF SOUTH AFRICA 6.250% ,R209    ,Over 12 years Nomina,000.0000,00011206760,00008480946.68, ,0009.57,00008252107.81,FI00
AVBOBP,R213 REPUBLIC OF SOUTH AFRICA 7.000% ,R213A   ,Over 12 years Nomina,000.0000,00005978000,00005241572.17, ,0009.22,00005146207.33,FI00
AVBOBP,R214 REPUBLIC OF SOUTH AFRICA 7.000% ,R214    ,Over 12 years Nomina,000.0000,00005998000,00004523911.13, ,0009.75,00004381979.25,FI00
**TOTAL Over 12 years Nomina                                           ,,,,000.0000,00102920672,00093673260.88, ,       ,00090740100.56,
AVBOBP,CITY OF JHB 9% 05/06/2018            ,COJ04   ,0-1 year NominalCred,000.0000,00001532657,00001310572.57, ,0008.09,00001567765.57,FI00
AVBOBP,FIRSTRAND 10.50% 14/04/2018          ,FRX18   ,0-1 year NominalCred,000.0000,00000014000,00000014640.59, ,0007.67,00000014721.04,FI00
AVBOBP,IMPERIAL GRP 280917                  ,IPL6    ,0-1 year NominalCred,000.0000,00000060000,00000061337.02, ,0007.90,00000062262.97,FI00
AVBOBP,INVESTEC 13.735% 30/04/2018          ,IV08    ,0-1 year NominalCred,000.0000,00000014000,00000014967.34, ,0008.78,00000015001.94,FI00
AVBOBP,STD 8.4% 100418                      ,SBK9    ,0-1 year NominalCred,000.0000,00000704730,00000638411.05, ,0008.43,00000724027.48,FI00
**TOTAL 0-1 year NominalCred                                           ,,,,000.0000,00002325387,00002039928.57, ,       ,00002383779.00,
AVBOBP,AA05 ANGLO AMERICAN SA FINANCE LTD 9.,AA05    ,1-3 years NominalCre,000.0000,00000036000,00000035909.59, ,0008.60,00000037621.25,FI00
AVBOBP,ABSA BANK LIMITED 8.295% 21/11/2018  ,AB013   ,1-3 years NominalCre,000.0000,00000181000,00000173900.43, ,0009.08,00000182535.60,FI00
AVBOBP,AIRPORTS COMPANY OF SOUTH AFRICA 8.58,AIR01   ,1-3 years NominalCre,000.0000,00000139000,00000135689.16, ,0008.43,00000144050.69,FI00
AVBOBP,BARLOW 9.8% 01/10/2018               ,BAW11   ,1-3 years NominalCre,000.0000,00000188000,00000190043.57, ,0008.58,00000196960.61,FI00
AVBOBP,DEV BANK 9.45% 15/06/2020            ,DV22    ,1-3 years NominalCre,000.0000,00000236000,00000244307.20, ,0008.54,00000240860.14,FI00
AVBOBP,FIRSTRAND 8.5% 21/12/2018            ,FRB05   ,1-3 years NominalCre,000.0000,00000391000,00000375796.25, ,0008.88,00000393503.96,FI00
AVBOBP,FIRSTRAND 12% 21/12/2018 (STEP UP DAT,FRBC21  ,1-3 years NominalCre,000.0000,00000219000,00000226276.46, ,0009.89,00000228240.84,FI00
AVBOBP,FIRSTRAND 9.00% 15/11/2019           ,FRX19   ,1-3 years NominalCre,000.0000,00001842000,00001974176.76, ,0007.90,00001921696.00,FI00
AVBOBP,NBK3A NEDBANK LIMITED 11.39% 09/09/20,NBK3A   ,1-3 years NominalCre,000.0000,00000142000,00000152372.04, ,0008.15,00000157370.04,FI00
AVBOBP,SA NATIONAL ROADS AGENCY LTD 12.25% 3,NRA018  ,1-3 years NominalCre,000.0000,00000056000,00000061163.07, ,0008.26,00000060020.11,FI00
AVBOBP,OLD MUTUAL LIFE ASSURANCE COMPANY LTD,OML05   ,1-3 years NominalCre,000.0000,00003250340,00003250340.00, ,0009.71,00003376629.04,FI00
AVBOBP,STD BANK LIMITED 8.87% 24/05/2019    ,SBS25   ,1-3 years NominalCre,000.0000,00000798000,00000795787.07, ,0007.95,00000824695.02,FI00
**TOTAL 1-3 years NominalCre                                           ,,,,000.0000,00007478340,00007615761.60, ,       ,00007764183.30,
AVBOBP,ANGLO AMERICAN SA FINANCE LTD 9.49% 1,AA07    ,3-7 years NominalCre,000.0000,00002556814,00002556814.00, ,0009.58,00002626047.67,FI00
AVBOBP,CITY OF JHB 10.78% 23/03/2021        ,COJ07   ,3-7 years NominalCre,000.0000,00000059000,00000061134.14, ,0009.49,00000063677.93,FI00
AVBOBP,DEV BANK 10.00% 27/02/2023           ,DV23    ,3-7 years NominalCre,000.0000,00001100101,00001059492.70, ,0009.45,00001175195.87,FI00
AVBOBP,TRANSNET SOC LIMITED 9.50% 13/05/2021,EJ920857,3-7 years NominalCre,000.0000,00012000000,00012000000.00, ,0010.18,00012019612.80,FI00
AVBOBP,FIRSTRAND JBR+170BPS 27/10/2020      ,FRS49   ,3-7 years NominalCre,000.0000,00000030686,00000030688.83, ,0008.78,00000030785.77,FI02
AVBOBP,NEDBANK 8.92% 28/11/2020             ,NBK11A  ,3-7 years NominalCre,000.0000,00002916561,00002916561.00, ,0008.50,00003002602.17,FI00
AVBOBP,SA NATIONAL ROADS AGENCY LTD 12.25% 3,NRA022  ,3-7 years NominalCre,000.0000,00000090000,00000106209.76, ,0009.18,00000104268.29,FI00
AVBOBP,OLD MUTUAL LIFE ASSURANCE COMPANY LTD,OML06   ,3-7 years NominalCre,000.0000,00006500681,00006500681.00, ,0010.48,00006722571.99,FI00
AVBOBP,OLD MUTUAL LIFE ASSURANCE COMPANY LTD,OML09   ,3-7 years NominalCre,000.0000,00006492520,00006492520.00, ,0010.47,00006883891.70,FI00
AVBOBP,SBS19 STANDARD BANK OF SA 10.18% 23/0,SBS19   ,3-7 years NominalCre,000.0000,00000080000,00000084116.97, ,0008.36,00000085765.59,FI00
AVBOBP,STANDARD BANK LTD 10.13% 20/02/2024  ,SBS27   ,3-7 years NominalCre,000.0000,00000774000,00000790940.62, ,0009.15,00000847456.86,FI00
AVBOBP,TRANSNET LIMITED 10.5% 17/09/2020    ,TN20    ,3-7 years NominalCre,000.0000,00005593000,00005892055.42, ,0008.76,00006083253.30,FI00
**TOTAL 3-7 years NominalCre                                           ,,,,000.0000,00038193363,00038491214.44, ,       ,00039645129.94,
AVBOBP,CITY OF CAPE TOWN 11.16% 15/03/2025  ,CCT03   ,7-12 years NominalCr,000.0000,00002125831,00002125831.00, ,0010.46,00002296842.41,FI00
AVBOBP,CITY OF JOHANNESBURG METROPOLITAN 11.,COJ08   ,7-12 years NominalCr,000.0000,00003663998,00003663998.00, ,0010.56,00003903925.28,FI00
AVBOBP,FIRSTRAND 10.75% 10/12/2024          ,FRX24   ,7-12 years NominalCr,000.0000,00000126000,00000134066.52, ,0009.20,00000138444.92,FI00
AVBOBP,STD LIMITED 10.05% 15/05/2026        ,SBS20B  ,7-12 years NominalCr,000.0000,00000333000,00000334059.77, ,0009.67,00000348190.99,FI00
AVBOBP,STANDARD BANK LTD 9.785% 12/06/2027  ,SBS31   ,7-12 years NominalCr,000.0000,00001154770,00001122920.40, ,0009.89,00001164865.69,FI00
AVBOBP,TRANSNET LIMITED 9.5% 19/08/2025     ,TN25    ,7-12 years NominalCr,000.0000,00000112000,00000111469.24, ,0010.40,00000111619.54,FI00
**TOTAL 7-12 years NominalCr                                           ,,,,000.0000,00007515599,00007492344.93, ,       ,00007963888.83,
AVBOBP,STANLIB GLOBAL BOND SINGLE MANAGER CL,SINGLMAN,Fixed Int Unit Trust,000.0000,00000002075,00037667739.42, ,       ,00041300196.96,OS03
**TOTAL Fixed Int Unit Trust                                           ,,,,000.0000,00000002075,00037667739.42, ,       ,00041300196.96,
AVBOBP,BNY MELLON USD                       ,BNYUSD  ,Current Account     ,        ,           ,              , ,       ,00001168353.38,ZL01
AVBOBP,BANK OF NY ZAR                       ,BONYZAR ,Current Account     ,        ,           ,              , ,       ,00001247456.92,ZL03
AVBOBP,STANDARD BANK ZAR - Net Settlements  ,STDCUR01,Current Account     ,        ,           ,              , ,       ,00016603394.56,ZL06
**TOTAL Current Account                                                ,,,,        ,           ,              , ,       ,00019019204.86,
AVBOBP,ASA ZAR CALL                         ,ABSACAL1,Call Account        ,        ,           ,              , ,       ,00022032609.91,ZL03
AVBOBP,NED ZAR CALL                         ,CALLNED ,Call Account        ,        ,           ,              , ,       ,00020511038.26,ZL03
AVBOBP,SBK ZAR CALL                         ,SCMBCAL1,Call Account        ,        ,           ,              , ,       ,00002002827.40,ZL03
**TOTAL Call Account                                                   ,,,,        ,           ,              , ,       ,00044546475.57,
AVBOBP,SAFEX VARIATION MARG                 ,XMARVAR ,Margin Accounts     ,        ,           ,              , ,       ,00004964627.30,ZL01
**TOTAL Margin Accounts                                                ,,,,        ,           ,              , ,       ,00004964627.30,
AVBOBP,FIDELITY INSTITUTIONAL LIQUIDITY USD ,FIDUSD  ,Money Market Unit Tr,000.0000,00000000213,00027832132.79, ,       ,00028830661.12,OS03
AVBOBP,STANLIB CORPORATE MONEY MARKET FUND C,SCMB6   ,Money Market Unit Tr,000.0000,00026014022,00026014021.56, ,0040.00,00026059416.62,FI02
**TOTAL Money Market Unit Tr                                           ,,,,000.0000,00026014235,00053846154.35, ,       ,00054890077.74,
TOTAL AVBOB POLICYHLD                                                  ,,,,        ,00192309599,00368757387.13, ,       ,00508784933.69,
B0005I,STANLIB HIGH ALPHA THREADNEEDLE CLASS,SHAGEF  ,Equity              ,000.0000,00000001367,00015437910.71, ,       ,00024638826.24,OS03
**TOTAL Equity                                                         ,,,,000.0000,00000001367,00015437910.71, ,       ,00024638826.24,
B0005I,STANLIB GLOBAL PROPERTY FUND CLASS B ,STGPFB  ,Real Estate         ,000.0000,00000000032,00000790523.70, ,       ,00001010105.27,OS03
**TOTAL Real Estate                                                    ,,,,000.0000,00000000032,00000790523.70, ,       ,00001010105.27,
B0005I,R203 REPUBLIC OF SOUTH AFRICA 8.250% ,R203    ,0-1 years NominalGov,000.0000,00000418436,00000425679.71, ,0006.95,00000432661.15,FI00
**TOTAL 0-1 years NominalGov                                           ,,,,000.0000,00000418436,00000425679.71, ,       ,00000432661.15,
B0005I,SA NATIONAL ROADS AGENCY LTD 9.75% 31,HWAY20  ,1-3 years NominalGov,000.0000,00000007000,00000007449.43, ,0008.26,00000007286.90,FI00
B0005I,R204 REPUBLIC OF SOUTH AFRICA 8.000% ,R204    ,1-3 years NominalGov,000.0000,00000068923,00000069384.54, ,0007.08,00000070465.59,FI00
B0005I,R207 REPUBLIC OF SOUTH AFRICA 7.250% ,R207    ,1-3 years NominalGov,000.0000,00000141475,00000141584.92, ,0007.33,00000141913.36,FI00
**TOTAL 1-3 years NominalGov                                           ,,,,000.0000,00000217398,00000218418.89, ,       ,00000219665.85,
B0005I,ESKOM 10.00% 25/01/2023              ,ES23    ,3-7 years NominalGov,000.0000,00000219000,00000240462.90, ,0008.93,00000229833.95,FI00
B0005I,R2023 REPUBLIC OF SOUTH AFRICA 7.750%,R2023   ,3-7 years NominalGov,000.0000,00000021139,00000021448.14, ,0007.90,00000021717.95,FI00
B0005I,R208 REPUBLIC OF SOUTH AFRICA 6.750% ,R208    ,3-7 years NominalGov,000.0000,00000625860,00000611413.72, ,0007.48,00000626557.58,FI00
B0005I,TRANS CALEDON 9% 28/05/2021          ,WSP5    ,3-7 years NominalGov,000.0000,00000016000,00000016360.86, ,0008.23,00000016677.76,FI00
**TOTAL 3-7 years NominalGov                                           ,,,,000.0000,00000881999,00000889685.62, ,       ,00000894787.24,
B0005I,ESKOM 7.85% 02/04/2026               ,ES26    ,7-12 years NominalGo,000.0000,00000056000,00000054286.42, ,0009.72,00000051505.04,FI00
B0005I,R186 REPUBLIC OF SOUTH AFRICA 10.500%,R186    ,7-12 years NominalGo,000.0000,00000720442,00000808580.88, ,0008.56,00000819242.12,FI00
B0005I,SA NATIONAL ROADS AGENCY LTD 9% 30/09,SZ25    ,7-12 years NominalGo,000.0000,00000001000,00000000941.70, ,0009.51,00000001003.53,FI00
**TOTAL 7-12 years NominalGo                                           ,,,,000.0000,00000777442,00000863809.00, ,       ,00000871750.69,
